p_mutation,sigma_start,Tau_prime_scale,tau_scale,score
0.1,1.4,0.4,1,9.99998983639439
0.1,1.4,0.5,0.1,8.04730234446732
0.1,1.4,0.5,0.2,8.70604476353311
0.1,1.4,0.5,0.3,9.13768956553598
0.1,1.4,0.5,0.4,9.65703973052788
0.1,1.4,0.5,0.5,9.88072002739154
0.1,1.4,0.5,0.6,9.95985377961151
0.1,1.4,0.5,0.7,9.99549131655306
0.1,1.4,0.5,0.8,9.99991223143885
0.1,1.4,0.5,0.9,9.99998579638428
0.1,1.4,0.5,1,9.99997823343568
0.1,1.4,0.6,0.1,7.63003744831296
0.1,1.4,0.6,0.2,8.522054049072
0.1,1.4,0.6,0.3,9.21778127941261
0.1,1.4,0.6,0.4,9.6780458053242
0.1,1.4,0.6,0.5,9.89645262892639
0.1,1.4,0.6,0.6,9.98634868014923
0.1,1.4,0.6,0.7,9.99899827700992
0.1,1.4,0.6,0.8,9.99996183905093
0.1,1.4,0.6,0.9,9.99998682349825
0.1,1.4,0.6,1,9.99997215651357
0.1,1.4,0.7,0.1,7.64014378718277
0.1,1.4,0.7,0.2,8.30862657199116
0.1,1.4,0.7,0.3,9.15271379263245
0.1,1.4,0.7,0.4,9.81550486707517
0.1,1.4,0.7,0.5,9.97245886607515
0.1,1.4,0.7,0.6,9.9971026333577
0.1,1.4,0.7,0.7,9.99981659894502
0.1,1.4,0.7,0.8,9.99996619321707
0.1,1.4,0.7,0.9,9.99989679925261
0.1,1.4,0.7,1,9.99996678290753
0.1,1.4,0.8,0.1,6.89316724917367
0.1,1.4,0.8,0.2,8.3011622387157
0.1,1.4,0.8,0.3,9.48605907731158
0.1,1.4,0.8,0.4,9.86519684308257
0.1,1.4,0.8,0.5,9.98167174356529
0.1,1.4,0.8,0.6,9.99631545468565
0.1,1.4,0.8,0.7,9.99997500240802
0.1,1.4,0.8,0.8,9.99999207830089
0.1,1.4,0.8,0.9,9.99998153068743
0.1,1.4,0.8,1,9.99998722856447
0.1,1.4,0.9,0.1,6.80506597829417
0.1,1.4,0.9,0.2,8.30935795137253
0.1,1.4,0.9,0.3,9.54439817084725
0.1,1.4,0.9,0.4,9.94302834158898
0.1,1.4,0.9,0.5,9.99642086504363
0.1,1.4,0.9,0.6,9.99996341216041
0.1,1.4,0.9,0.7,9.99998869939271
0.1,1.4,0.9,0.8,9.9999785731443
0.1,1.4,0.9,0.9,9.99997002792859
0.1,1.4,0.9,1,9.99998917713674
0.1,1.4,1,0.1,6.75981494319098
0.1,1.4,1,0.2,8.45671564692907
0.1,1.4,1,0.3,9.57337061895054
0.1,1.4,1,0.4,9.94482514326151
0.1,1.4,1,0.5,9.99613127353567
0.1,1.4,1,0.6,9.99994379557343
0.1,1.4,1,0.7,9.99997906084857
0.1,1.4,1,0.8,9.99998280296172
0.1,1.4,1,0.9,9.99998497628882
0.1,1.4,1,1,9.99997541962158
0.1,1.5,0.1,0.1,9.99974551169306
0.1,1.5,0.1,0.2,9.99922285490958
0.1,1.5,0.1,0.3,9.99971744824687
0.1,1.5,0.1,0.4,9.99974094111461
0.1,1.5,0.1,0.5,9.99963628000847
0.1,1.5,0.1,0.6,9.9999742524802
0.1,1.5,0.1,0.7,9.99994822940354
0.1,1.5,0.1,0.8,9.99973965894322
0.1,1.5,0.1,0.9,9.99954431099946
0.1,1.5,0.1,1,9.99974803185599
0.1,1.5,0.2,0.1,9.75100472089686
0.1,1.5,0.2,0.2,9.78475720949834
0.1,1.5,0.2,0.3,9.82518206841578
0.1,1.5,0.2,0.4,9.86851118262366
0.1,1.5,0.2,0.5,9.90075767643668
0.1,1.5,0.2,0.6,9.89290295998049
0.1,1.5,0.2,0.7,9.94641129251896
0.1,1.5,0.2,0.8,9.95813832892683
0.1,1.5,0.2,0.9,9.98017835278231
0.1,1.5,0.2,1,9.99122692668459
0.1,1.5,0.3,0.1,9.15157163391205
0.1,1.5,0.3,0.2,9.28912425434337
0.1,1.5,0.3,0.3,9.44097500655849
0.1,1.5,0.3,0.4,9.6259750699432
0.1,1.5,0.3,0.5,9.74006307017597
0.1,1.5,0.3,0.6,9.87392666754853
0.1,1.5,0.3,0.7,9.9457670158627
0.1,1.5,0.3,0.8,9.97047951629825
0.1,1.5,0.3,0.9,9.9904320865658
0.1,1.5,0.3,1,9.99673143738804
0.1,1.5,0.4,0.1,8.51073422329179
0.1,1.5,0.4,0.2,8.81758636874792
0.1,1.5,0.4,0.3,9.25270643064684
0.1,1.5,0.4,0.4,9.56512719159877
0.1,1.5,0.4,0.5,9.79380748797315
0.1,1.5,0.4,0.6,9.91370854874184
0.1,1.5,0.4,0.7,9.96812964111112
0.1,1.5,0.4,0.8,9.99561835946528
0.1,1.5,0.4,0.9,9.99970204318298
0.1,1.5,0.4,1,9.99998983639439
0.1,1.5,0.5,0.1,8.04730234446732
0.1,1.5,0.5,0.2,8.70604476353311
0.1,1.5,0.5,0.3,9.13768956553598
0.1,1.5,0.5,0.4,9.65703973052788
0.1,1.5,0.5,0.5,9.88072002739154
0.1,1.5,0.5,0.6,9.95985377961151
0.1,1.5,0.5,0.7,9.99549131655306
0.1,1.5,0.5,0.8,9.99991223143885
0.1,1.5,0.5,0.9,9.99998579638428
0.1,1.5,0.5,1,9.99997823343568
0.1,1.5,0.6,0.1,7.63003744831296
0.1,1.5,0.6,0.2,8.522054049072
0.1,1.5,0.6,0.3,9.21778127941261
0.1,1.5,0.6,0.4,9.6780458053242
0.1,1.5,0.6,0.5,9.89645262892639
0.1,1.5,0.6,0.6,9.98634868014923
0.1,1.5,0.6,0.7,9.99899827700992
0.1,1.5,0.6,0.8,9.99996183905093
0.1,1.5,0.6,0.9,9.99998682349825
0.1,1.5,0.6,1,9.99997215651357
0.1,1.5,0.7,0.1,7.64014378718277
0.1,1.5,0.7,0.2,8.30862657199116
0.1,1.5,0.7,0.3,9.15271379263245
0.1,1.5,0.7,0.4,9.81550486707517
0.1,1.5,0.7,0.5,9.97245886607515
0.1,1.5,0.7,0.6,9.9971026333577
0.1,1.5,0.7,0.7,9.99981659894502
0.1,1.5,0.7,0.8,9.99996619321707
0.1,1.5,0.7,0.9,9.99989679925261
0.1,1.5,0.7,1,9.99996678290753
0.1,1.5,0.8,0.1,6.89316724917367
0.1,1.5,0.8,0.2,8.3011622387157
0.1,1.5,0.8,0.3,9.48605907731158
0.1,1.5,0.8,0.4,9.86519684308257
0.1,1.5,0.8,0.5,9.98167174356529
0.1,1.5,0.8,0.6,9.99631545468565
0.1,1.5,0.8,0.7,9.99997500240802
0.1,1.5,0.8,0.8,9.99999207830089
0.1,1.5,0.8,0.9,9.99998153068743
0.1,1.5,0.8,1,9.99998722856447
0.1,1.5,0.9,0.1,6.80506597829417
0.1,1.5,0.9,0.2,8.30935795137253
0.1,1.5,0.9,0.3,9.54439817084725
0.1,1.5,0.9,0.4,9.94302834158898
0.1,1.5,0.9,0.5,9.99642086504363
0.1,1.5,0.9,0.6,9.99996341216041
0.1,1.5,0.9,0.7,9.99998869939271
0.1,1.5,0.9,0.8,9.9999785731443
0.1,1.5,0.9,0.9,9.99997002792859
0.1,1.5,0.9,1,9.99998917713674
0.1,1.5,1,0.1,6.75981494319098
0.1,1.5,1,0.2,8.45671564692907
0.1,1.5,1,0.3,9.57337061895054
0.1,1.5,1,0.4,9.94482514326151
0.1,1.5,1,0.5,9.99613127353567
