"Split","In_Best_X","p_mutation","sigma_end","Score"
"0.6","1.0","0.1","0.001","4.535046848724423"
"0.6","1.0","0.1","0.026000000000000002","7.694363929978198"
"0.6","1.0","0.1","0.051000000000000004","8.33476454039078"
"0.6","1.0","0.1","0.07600000000000001","8.456558017813226"
"0.6","1.0","0.1","0.101","8.545343787186338"
"0.6","1.0","0.1","0.126","8.698704895308861"
"0.6","1.0","0.1","0.151","8.748574147355132"
"0.6","1.0","0.1","0.176","8.940691823960716"
"0.6","1.0","0.1","0.20099999999999998","8.745304767170088"
"0.6","1.0","0.1","0.22599999999999998","8.849439309389867"
"0.6","1.0","0.1","0.251","8.890162303410653"
"0.6","1.0","0.1","0.276","8.88439719841467"
"0.6","1.0","0.2","0.001","8.538117608765042"
"0.6","1.0","0.2","0.026000000000000002","9.512484651555912"
"0.6","1.0","0.2","0.051000000000000004","9.619079531660969"
"0.6","1.0","0.2","0.07600000000000001","9.647003104177083"
"0.6","1.0","0.2","0.101","9.731045793863919"
"0.6","1.0","0.2","0.126","9.718683342126779"
"0.6","1.0","0.2","0.151","9.688012717938673"
"0.6","1.0","0.2","0.176","9.752913271573878"
"0.6","1.0","0.2","0.20099999999999998","9.752232137159469"
"0.6","1.0","0.2","0.22599999999999998","9.647905985393706"
"0.6","1.0","0.2","0.251","9.657695326626806"
"0.6","1.0","0.2","0.276","9.707279946331148"
"0.6","1.0","0.30000000000000004","0.001","9.491321592820352"
"0.6","1.0","0.30000000000000004","0.026000000000000002","9.856375172770326"
"0.6","1.0","0.30000000000000004","0.051000000000000004","9.891176223912101"
"0.6","1.0","0.30000000000000004","0.07600000000000001","9.89508435174611"
"0.6","1.0","0.30000000000000004","0.101","9.894590137527024"
"0.6","1.0","0.30000000000000004","0.126","9.855441842405662"
"0.6","1.0","0.30000000000000004","0.151","9.846696722136219"
"0.6","1.0","0.30000000000000004","0.176","9.865186202224455"
"0.6","1.0","0.30000000000000004","0.20099999999999998","9.850360693561068"
"0.6","1.0","0.30000000000000004","0.22599999999999998","9.860287022076255"
"0.6","1.0","0.30000000000000004","0.251","9.852146497530423"
"0.6","1.0","0.30000000000000004","0.276","9.847854800864145"
"0.6","1.0","0.4","0.001","9.892938275705358"
"0.6","1.0","0.4","0.026000000000000002","9.973634166244166"
"0.6","1.0","0.4","0.051000000000000004","9.974331311812444"
"0.6","1.0","0.4","0.07600000000000001","9.970673146144945"
"0.6","1.0","0.4","0.101","9.965381341941866"
"0.6","1.0","0.4","0.126","9.967480504620926"
"0.6","1.0","0.4","0.151","9.959298351726444"
"0.6","1.0","0.4","0.176","9.950141511961169"
"0.6","1.0","0.4","0.20099999999999998","9.957518994436693"
"0.6","1.0","0.4","0.22599999999999998","9.9426558022917"
"0.6","1.0","0.4","0.251","9.929199840375544"
"0.6","1.0","0.4","0.276","9.940688247199418"
"0.6","1.0","0.5","0.001","9.97095374804741"
"0.6","1.0","0.5","0.026000000000000002","9.991015451713428"
"0.6","1.0","0.5","0.051000000000000004","9.989001529635905"
"0.6","1.0","0.5","0.07600000000000001","9.988384445677992"
"0.6","1.0","0.5","0.101","9.983261936591266"
"0.6","1.0","0.5","0.126","9.982682449590746"
"0.6","1.0","0.5","0.151","9.974837577730533"
"0.6","1.0","0.5","0.176","9.976531041255553"
"0.6","1.0","0.5","0.20099999999999998","9.974735894120746"
"0.6","1.0","0.5","0.22599999999999998","9.970332681617862"
"0.6","1.0","0.5","0.251","9.975393931031217"
"0.6","1.0","0.5","0.276","9.975117126631611"
"0.6","1.0","0.6","0.001","9.992595294520918"
"0.6","1.0","0.6","0.026000000000000002","9.99676434571673"
"0.6","1.0","0.6","0.051000000000000004","9.995948012419307"
"0.6","1.0","0.6","0.07600000000000001","9.99419763595623"
"0.6","1.0","0.6","0.101","9.993451618267247"
"0.6","1.0","0.6","0.126","9.990913266823735"
"0.6","1.0","0.6","0.151","9.992784908207463"
"0.6","1.0","0.6","0.176","9.989581693763697"
"0.6","1.0","0.6","0.20099999999999998","9.988718126982178"
"0.6","1.0","0.6","0.22599999999999998","9.988309353478348"
"0.6","1.0","0.6","0.251","9.987726712883392"
"0.6","1.0","0.6","0.276","9.987082825277174"
"0.6","1.0","0.7","0.001","9.998943803270786"
"0.6","1.0","0.7","0.026000000000000002","9.998981189164766"
"0.6","1.0","0.7","0.051000000000000004","9.9986979532149"
"0.6","1.0","0.7","0.07600000000000001","9.99758379031862"
"0.6","1.0","0.7","0.101","9.997409357675556"
"0.6","1.0","0.7","0.126","9.99737055213784"
"0.6","1.0","0.7","0.151","9.997289104721375"
"0.6","1.0","0.7","0.176","9.997227948458457"
"0.6","1.0","0.7","0.20099999999999998","9.997231082704316"
"0.6","1.0","0.7","0.22599999999999998","9.997231598575633"
"0.6","1.0","0.7","0.251","9.997229493142447"
"0.6","1.0","0.7","0.276","9.997224763471433"
"0.6","1.0","0.7999999999999999","0.001","9.99977014312728"
"0.6","1.0","0.7999999999999999","0.026000000000000002","9.999447574916413"
"0.6","1.0","0.7999999999999999","0.051000000000000004","9.99937741009266"
"0.6","1.0","0.7999999999999999","0.07600000000000001","9.99921425112306"
"0.6","1.0","0.7999999999999999","0.101","9.999181618201067"
"0.6","1.0","0.7999999999999999","0.126","9.99917573919773"
