"Split","In_Best_X","p_mutation","sigma_end","Score"
"0.9","1.0","0.8","1.0E-4","9.999434746676709"
"0.9","1.0","0.8","2.0E-4","9.999565676833955"
"0.9","1.0","0.8","3.0000000000000003E-4","9.999645201161568"
"0.9","1.0","0.8","4.0E-4","9.999681361642415"
"0.9","1.0","0.8","5.0E-4","9.999729923008974"
"0.9","1.0","0.8","6.000000000000001E-4","9.999777874240827"
"0.9","1.0","0.8","7.000000000000001E-4","9.999767679232002"
"0.9","1.0","0.8","8.000000000000001E-4","9.999793758820095"
"0.9","1.0","0.8","9.000000000000002E-4","9.999819923087268"
"0.9","1.0","0.8","0.0010000000000000002","9.999806661426081"
"0.9","1.0","0.8","0.0011000000000000003","9.99977044653161"
"0.9","1.0","0.8","0.0012000000000000003","9.99980944932805"
"0.9","1.0","0.8","0.0013000000000000004","9.999788952433025"
"0.9","1.0","0.8","0.0014000000000000004","9.999808606874886"
"0.9","1.0","0.8","0.0015000000000000005","9.999775537032768"
"0.9","1.0","0.8","0.0016000000000000005","9.999808259348454"
"0.9","1.0","0.8","0.0017000000000000006","9.999806343993994"
"0.9","1.0","0.8","0.0018000000000000006","9.999797039605644"
"0.9","1.0","0.8","0.0019000000000000006","9.999802662301677"
"0.9","1.0","0.8","0.0020000000000000005","9.999800623168161"
"0.9","1.0","0.8","0.0021000000000000003","9.99983745668599"
"0.9","1.0","0.8","0.0022","9.999809605868913"
"0.9","1.0","0.8","0.0023","9.99983010366458"
"0.9","1.0","0.8","0.0024","9.999807778423968"
"0.9","1.0","0.8","0.0024999999999999996","9.999807695630059"
"0.9","1.0","0.8","0.0025999999999999994","9.999791096864957"
"0.9","1.0","0.8","0.0026999999999999993","9.999795125241633"
"0.9","1.0","0.8","0.002799999999999999","9.999801797829361"
"0.9","1.0","0.8","0.002899999999999999","9.999787738018478"
"0.9","1.0","0.8","0.0029999999999999988","9.999847509170326"
"0.9","1.0","0.8","0.0030999999999999986","9.999777755815483"
