"p_mutation","sigma_start","tau_apos_scale","tau_scale","Score"
"1.0","1.0","0.1","0.1","9.968790733493755"
"1.0","1.0","0.1","0.2","9.984117193304796"
"1.0","1.0","0.1","0.30000000000000004","9.991607426045569"
"1.0","1.0","0.1","0.4","9.998783941962294"
"1.0","1.0","0.1","0.5","9.998950705434606"
"1.0","1.0","0.1","0.6","9.998597617195944"
"1.0","1.0","0.1","0.7","9.9828331050289"
"1.0","1.0","0.1","0.7999999999999999","9.923467233361185"
"1.0","1.0","0.1","0.8999999999999999","9.331669860471479"
"1.0","1.0","0.1","0.9999999999999999","0.11799590345940672"
"1.0","1.0","0.1","1.0999999999999999","0.11799590345940672"
"1.0","1.0","0.1","1.2","0.11799590345940672"
"1.0","1.0","0.1","1.3","0.11799590345940672"
"1.0","1.0","0.1","1.4000000000000001","0.11799590345940672"
"1.0","1.0","0.1","1.5000000000000002","0.11799590345940672"
"1.0","1.0","0.1","1.6000000000000003","0.11799590345940672"
"1.0","1.0","0.1","1.7000000000000004","0.11799590345940672"
"1.0","1.0","0.1","1.8000000000000005","0.11799590345940672"
"1.0","1.0","0.1","1.9000000000000006","0.11799590345940672"
"1.0","1.0","0.2","0.1","9.95049090460155"
"1.0","1.0","0.2","0.2","9.976549630867897"
"1.0","1.0","0.2","0.30000000000000004","9.989425932531576"
"1.0","1.0","0.2","0.4","9.992161359132188"
"1.0","1.0","0.2","0.5","9.997857482127179"
"1.0","1.0","0.2","0.6","9.998584511111016"
"1.0","1.0","0.2","0.7","9.999120197461313"
"1.0","1.0","0.2","0.7999999999999999","9.99968227076732"
"1.0","1.0","0.2","0.8999999999999999","9.999610278064704"
"1.0","1.0","0.2","0.9999999999999999","2.3481006321586824"
"1.0","1.0","0.2","1.0999999999999999","2.3481006321586824"
"1.0","1.0","0.2","1.2","2.3481006321586824"
"1.0","1.0","0.2","1.3","2.3481006321586824"
"1.0","1.0","0.2","1.4000000000000001","2.3481006321586824"
"1.0","1.0","0.2","1.5000000000000002","2.3481006321586824"
"1.0","1.0","0.2","1.6000000000000003","2.3481006321586824"
"1.0","1.0","0.2","1.7000000000000004","2.3481006321586824"
"1.0","1.0","0.2","1.8000000000000005","2.3481006321586824"
"1.0","1.0","0.2","1.9000000000000006","2.3481006321586824"
"1.0","1.0","0.30000000000000004","0.1","9.903703208862797"
"1.0","1.0","0.30000000000000004","0.2","9.945211615295193"
"1.0","1.0","0.30000000000000004","0.30000000000000004","9.96465013654819"
"1.0","1.0","0.30000000000000004","0.4","9.978525886387738"
"1.0","1.0","0.30000000000000004","0.5","9.986763593876635"
"1.0","1.0","0.30000000000000004","0.6","9.992372303067423"
"1.0","1.0","0.30000000000000004","0.7","9.995434299027753"
"1.0","1.0","0.30000000000000004","0.7999999999999999","9.99726223488215"
"1.0","1.0","0.30000000000000004","0.8999999999999999","9.99942331910642"
"1.0","1.0","0.30000000000000004","0.9999999999999999","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.0999999999999999","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.2","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.3","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.4000000000000001","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.5000000000000002","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.6000000000000003","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.7000000000000004","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.8000000000000005","8.228777049878511"
"1.0","1.0","0.30000000000000004","1.9000000000000006","8.228777049878511"
"1.0","1.0","0.4","0.1","9.836970300345925"
"1.0","1.0","0.4","0.2","9.898701694071251"
"1.0","1.0","0.4","0.30000000000000004","9.912111998013144"
