Alpha,Mutation_Step_Size_Start,Tau_Scale,Tau_Prime_Scale,Fitness
0.3,1.05,0.9,1.3,9.99997649384325
0.3,1.05,1.1,0.7,9.76202406499928
0.3,1.05,1.1,0.9,9.33648399224192
0.3,1.05,1.1,1.1,9.86172625118042
0.3,1.05,1.1,1.3,8.96255944336612
0.3,1.05,1.3,0.7,9.02525262154074
0.3,1.05,1.3,0.9,9.357513418462
0.3,1.05,1.3,1.1,8.32889992134543
0.3,1.05,1.3,1.3,8.91625999642063
0.3,1.3,0.7,0.7,9.9999888505393
0.3,1.3,0.7,0.9,9.99998500563075
0.3,1.3,0.7,1.1,9.99997820428217
0.3,1.3,0.7,1.3,9.99998389732718
0.3,1.3,0.9,0.7,9.99998710752057
0.3,1.3,0.9,0.9,9.99998079311732
0.3,1.3,0.9,1.1,9.99992347404513
0.3,1.3,0.9,1.3,9.99986601406657
0.3,1.3,1.1,0.7,9.18304654916291
0.3,1.3,1.1,0.9,9.0883143173516
0.3,1.3,1.1,1.1,9.79287900906017
0.3,1.3,1.1,1.3,9.35588585251205
0.3,1.3,1.3,0.7,9.2131261154097
0.3,1.3,1.3,0.9,8.22852694468713
0.3,1.3,1.3,1.1,9.52056696368057
0.3,1.3,1.3,1.3,7.61599915519385
0.3,1.55,0.7,0.7,9.99999089570836
0.3,1.55,0.7,0.9,9.99999147557
0.3,1.55,0.7,1.1,9.99998256336854
0.3,1.55,0.7,1.3,9.99998815973512
0.3,1.55,0.9,0.7,9.99997039944479
0.3,1.55,0.9,0.9,9.99994849089134
0.3,1.55,0.9,1.1,9.99994142360133
0.3,1.55,0.9,1.3,9.99992048422565
0.3,1.55,1.1,0.7,9.63825606072718
0.3,1.55,1.1,0.9,9.76085591749594
0.3,1.55,1.1,1.1,9.14495905508664
0.3,1.55,1.1,1.3,9.57726878039374
0.3,1.55,1.3,0.7,9.43063705385771
0.3,1.55,1.3,0.9,9.22989812770999
0.3,1.55,1.3,1.1,9.24419583521271
0.3,1.55,1.3,1.3,7.8023145129761
0.35,0.3,0.7,0.7,9.99998472254968
0.35,0.3,0.7,0.9,9.99997965681143
0.35,0.3,0.7,1.1,9.99997670119894
0.35,0.3,0.7,1.3,9.99997178315351
0.35,0.3,0.9,0.7,9.99997618735268
0.35,0.3,0.9,0.9,9.9999779018777
0.35,0.3,0.9,1.1,9.99997180222163
0.35,0.3,0.9,1.3,9.99997146730307
0.35,0.3,1.1,0.7,9.09233187211494
0.35,0.3,1.1,0.9,9.80437960743375
0.35,0.3,1.1,1.1,9.06874952161911
0.35,0.3,1.1,1.3,9.58166169654386
0.35,0.3,1.3,0.7,9.6617678582635
0.35,0.3,1.3,0.9,9.74266586348218
0.35,0.3,1.3,1.1,8.91276685892176
0.35,0.3,1.3,1.3,9.61687219538967
0.35,0.55,0.7,0.7,9.9999856043736
0.35,0.55,0.7,0.9,9.99998726900651
0.35,0.55,0.7,1.1,9.99998920488767
0.35,0.55,0.7,1.3,9.99998237259874
0.35,0.55,0.9,0.7,9.9999903351554
